ID,LAT,LON,TIPOLOGIA,name,LEGALE_RA,UBICAZIONE,housenumber,street,City,CODICEFISCALE,POSTILETTO
781,40.66559168,16.61182226,guest_house,Solosud,Paola De Donno,VIA SAN GIACOMO 16 17 18,16 17 18,Via San Giacomo ,Matera,null,7
783,40.6625417,16.61029961,guest_house,Dimora Lanfranchi,Marcello Coronella,VIA CASALNUOVO 8,8,Via Casalnuovo ,Matera ,null,2
784,40.64994866,16.62098773,guest_house,Sant'Agnese,Santarsia Chiara,VIA FRANCESCO NATALE FARINA1,1,Via Francesco Natale Farina,Matera,null,2
785,40.64593007,16.62160009,guest_house,Casa Azul,Claudia Pentasuglia,VIA MONS. CAVALLA 10,10,Via Mons. Cavalla ,Matera,null,4
786,40.6864277,16.57778443,guest_house,Giada,Bellarosa Rosa,VIA NINO ROTA 298,298,Via Nino Rota ,Matera,null,2
788,40.6845307,16.58651745,guest_house,A Casa di Bruna,Stifano Bruna,VIA DEI BRUZZI 66,66,Via dei Bruzzi ,Matera,null,3
789,40.66502674,16.60469011,guest_house,B & B Il Tramontano,Perrone Leonardo,VICO GRAMSCI 2,2,Vico Gramsci ,Matera,null,2
790,40.66760618,16.6094309,guest_house,Terra  Mater,Fabrizio Vincenzo,VIA SAN ROCCO 50,50,Via San Rocco ,Matera,null,3
791,40.66806028,16.60803122,guest_house,Terra Lucana B&B,Dimastrodonato Gianluca,vico xx settembre 58,58,Vico Xx Settembre ,Matera,null,6
793,40.66422022,16.61233328,guest_house,La Corte dei Pastori,Giordano Domenico,VIA BRUNO BUOZZI 4,4,Via Bruno Buozzi ,Matera,null,8
798,40.66441944,16.61202094,guest_house,Terrazza Casa Mia,Rossella Tosto,P.TTA S. P. CAVEOSO 10,10,P.Tta S. P. Caveoso ,Matera,null,2
800,40.66013145,16.6030351,guest_house,L'Abbabbio,Sergio Fadini,VIA DELLA QUERCIA 6,6,Via della Quercia ,Matera,null,2
801,40.67031207,16.60803974,guest_house,La Stanza sui Sassi,Arianna Montemurro,VIA G. PENTASUGLIA 11,11,Via G. Pentasuglia ,Matera,null,2
802,40.6475616,16.61861613,guest_house,B&B Green di Maria,Maria Clemente,VIA RAUL PAPINI 3,3,Via Raul Papini ,Matera,null,5
803,40.69790575,16.58212203,guest_house,Villa Oasi,Colavito Federica,C.DA SERRA PADUCCI,,C.Da Serra Paducci,Matera,null,3
804,40.67021539,16.59636516,guest_house,La Tua Casa a Matera,Ilvento Porzia,VIA LAZAZZERA 20,20,Via Lazazzera ,Matera,null,3
